year,reach,Nsamples,EF,catch_all,catch_100,catch_200,catch_300
1998, RM 10-20,NA,NA,.00,.00,.00,.00
1998, RM 20-30,NA,NA,.00,.00,.00,.00
1998, RM 30-40,1,218.00,4.00,1.00,1.00,1.00
1998, RM 40-50,NA,NA,.00,.00,.00,.00
1998, RM 50-61.5,6,7915.00,136.00,129.00,127.00,92.00
1998, RM 61.5-65.7,9,12847.00,161.00,62.00,45.00,33.00
1998, RM 65.7-76.3,4,2124.00,46.00,11.00,6.00,4.00
1999, RM < 0,8,56179.00,3177.00,2670.00,1959.00,1107.00
1999, RM  0-10,NA,NA,.00,.00,.00,.00
1999, RM 10-20,NA,NA,.00,.00,.00,.00
1999, RM 20-30,NA,NA,.00,.00,.00,.00
1999, RM 30-40,3,1488.00,64.00,62.00,58.00,36.00
1999, RM 40-50,NA,NA,.00,.00,.00,.00
1999, RM 50-61.5,3,2991.00,49.00,48.00,44.00,30.00
1999, RM 61.5-65.7,12,21127.00,264.00,216.00,181.00,123.00
1999, RM 65.7-76.3,3,8403.00,100.00,80.00,71.00,51.00
2000, RM < 0,9,65744.00,5056.00,3759.00,2647.00,1597.00
2000, RM  0-10,2,1295.00,34.00,32.00,24.00,14.00
2000, RM 10-20,4,2903.00,155.00,150.00,146.00,103.00
2000, RM 20-30,12,12281.00,367.00,364.00,340.00,178.00
2000, RM 30-40,7,16941.00,595.00,590.00,568.00,287.00
2000, RM 40-50,11,6846.00,125.00,122.00,116.00,52.00
2000, RM 50-61.5,32,36090.00,1031.00,1021.00,997.00,532.00
2000, RM 61.5-65.7,13,46965.00,758.00,737.00,694.00,387.00
2000, RM 65.7-76.3,9,29866.00,667.00,644.00,599.00,437.00
2001, RM < 0,57,94415.00,6886.00,5856.00,2643.00,1544.00
2001, RM  0-10,NA,NA,.00,.00,.00,.00
2001, RM 10-20,NA,NA,.00,.00,.00,.00
2001, RM 20-30,NA,NA,.00,.00,.00,.00
2001, RM 30-40,2,1258.00,64.00,64.00,55.00,5.00
2001, RM 40-50,5,2876.00,105.00,99.00,71.00,5.00
2001, RM 50-61.5,32,17977.00,418.00,409.00,391.00,107.00
2001, RM 61.5-65.7,15,8397.00,93.00,92.00,87.00,32.00
2001, RM 65.7-76.3,NA,NA,.00,.00,.00,.00
2002, RM < 0,39,59036.00,3347.00,3197.00,2039.00,800.00
2002, RM  0-10,3,869.00,29.00,29.00,26.00,22.00
2002, RM 10-20,23,7840.00,182.00,182.00,171.00,50.00
2002, RM 20-30,23,7105.00,244.00,244.00,220.00,42.00
2002, RM 30-40,23,15274.00,499.00,497.00,479.00,110.00
2002, RM 40-50,19,33078.00,497.00,494.00,469.00,158.00
2002, RM 50-61.5,56,84078.00,1210.00,1188.00,1117.00,846.00
2002, RM 61.5-65.7,41,43489.00,246.00,235.00,220.00,105.00
2002, RM 65.7-76.3,22,16300.00,199.00,190.00,182.00,112.00
2003, RM < 0,35,52345.00,2659.00,2567.00,2036.00,1060.00
2003, RM  0-10,23,7623.00,297.00,292.00,220.00,125.00
2003, RM 10-20,18,5893.00,170.00,170.00,154.00,113.00
2003, RM 20-30,1,348.00,5.00,5.00,5.00,4.00
2003, RM 30-40,11,3615.00,67.00,67.00,66.00,54.00
2003, RM 40-50,18,157507.00,3324.00,3280.00,3072.00,2402.00
2003, RM 50-61.5,172,1207718.00,10097.00,9903.00,8493.00,6754.00
2003, RM 61.5-65.7,114,781955.00,3174.00,2920.00,2140.00,1440.00
2003, RM 65.7-76.3,76,191157.00,1107.00,1075.00,981.00,486.00
2004, RM < 0,34,67492.00,2934.00,2557.00,1636.00,1080.00
2004, RM  0-10,24,7811.00,178.00,177.00,131.00,67.00
2004, RM 10-20,23,7447.00,271.00,270.00,222.00,132.00
2004, RM 20-30,1,329.00,17.00,16.00,14.00,8.00
2004, RM 30-40,23,7192.00,223.00,223.00,172.00,116.00
2004, RM 40-50,18,144094.00,2539.00,2496.00,2270.00,1522.00
2004, RM 50-61.5,169,1137743.00,6599.00,6197.00,5265.00,3057.00
2004, RM 61.5-65.7,112,756836.00,2616.00,1957.00,1411.00,610.00
2004, RM 65.7-76.3,61,280147.00,1167.00,1116.00,882.00,268.00
2005, RM < 0,34,52208.00,1604.00,1559.00,1100.00,656.00
2005, RM  0-10,24,7608.00,203.00,201.00,137.00,10.00
2005, RM 10-20,NA,NA,.00,.00,.00,.00
2005, RM 20-30,24,8570.00,287.00,284.00,246.00,22.00
2005, RM 30-40,23,7248.00,138.00,138.00,94.00,12.00
2005, RM 40-50,18,143984.00,2176.00,2157.00,1674.00,421.00
2005, RM 50-61.5,148,1004773.00,5088.00,4512.00,2749.00,1139.00
2005, RM 61.5-65.7,101,702590.00,3652.00,2212.00,939.00,443.00
2005, RM 65.7-76.3,63,378343.00,1639.00,1082.00,626.00,242.00
2006, RM < 0,35,52190.00,1265.00,1180.00,987.00,601.00
2006, RM  0-10,24,8154.00,162.00,162.00,138.00,15.00
2006, RM 10-20,18,5830.00,70.00,70.00,70.00,59.00
2006, RM 20-30,1,352.00,10.00,10.00,10.00,6.00
2006, RM 30-40,23,8234.00,207.00,204.00,201.00,92.00
2006, RM 40-50,17,110346.00,1257.00,1226.00,1190.00,506.00
2006, RM 50-61.5,140,725560.00,4049.00,2640.00,1883.00,739.00
2006, RM 61.5-65.7,105,634083.00,4365.00,1557.00,875.00,428.00
2006, RM 65.7-76.3,70,363778.00,2235.00,1225.00,741.00,265.00
2007, RM < 0,28,50597.00,1070.00,833.00,589.00,488.00
2007, RM  0-10,28,17785.00,545.00,365.00,281.00,248.00
2007, RM 10-20,7,4190.00,83.00,55.00,51.00,44.00
2007, RM 20-30,NA,NA,.00,.00,.00,.00
2007, RM 30-40,18,11539.00,140.00,119.00,101.00,87.00
2007, RM 40-50,12,7444.00,99.00,75.00,62.00,49.00
2007, RM 50-61.5,32,17120.00,130.00,108.00,79.00,52.00
2007, RM 61.5-65.7,19,11711.00,111.00,85.00,52.00,30.00
